#{"t_start": 1592404429.535427, "env_id": "cdtn-more-simplified-v2"}
r,l,t
7.948343,60,981.284415
0.127661,60,5263.024205
1.742406,60,6875.644588
5.576976,60,8293.561675
13.61199,60,8872.21102
15.694504,60,9144.619522
22.460972,60,9557.090581
9.912883,60,10104.506891
11.992976,60,10342.227676
5.639541,60,11739.71672
0.486502,60,15089.449297
9.680114,60,15390.915457
11.455172,60,15743.312599
0.253256,60,19228.716186
0.011121,60,22492.52966
9.319261,60,23509.013175
11.826403,60,23871.880982
3.748091,60,24078.924403
9.53665,60,24296.473452
6.58701,60,25281.173896
9.890381,60,25564.40234
0.012629,60,28833.864694
10.445949,60,29014.416534
17.824243,60,29292.623986
13.229359,60,29550.649037
2.077489,60,32107.656222
0.003998,60,35046.38678
8.435453,60,35441.348993
21.336507,60,35740.756134
14.31511,60,35986.037551
6.407775,60,37271.83456
24.520172,60,37462.073866
2.72478,60,39304.056784
15.914171,60,39849.870239
10.395079,60,41043.452558
8.862952,60,42619.167516
15.183417,60,42877.548105
19.711926,60,43072.615105
15.666718,60,43325.196539
20.675389,60,43528.876585
19.293709,60,44062.967134
15.040086,60,44253.89742
18.394609,60,44453.49626
0.008007,60,47144.769145
19.050615,60,47711.480433
6.684816,60,49139.439758
23.323676,60,49463.699422
16.320222,60,49684.009112
21.145592,60,49889.213467
15.218995,60,50449.457652
15.742865,60,50630.614757
17.45668,60,50811.661786
20.645332,60,51005.665713
15.638776,60,51182.827428
22.107252,60,51384.611256
22.88071,60,51791.251769
24.279044,60,51982.422516
19.494983,60,52495.410555
16.75149,60,53128.427116
18.162055,60,53697.30953
15.557678,60,54001.956375
18.794407,60,54193.7382
24.067085,60,54424.422976
21.730597,60,55067.953118
18.074068,60,55833.073957
27.935737,60,56053.0116
24.321102,60,56594.324318
24.335739,60,57018.376788
21.052905,60,57211.789381
23.99604,60,57408.436125
21.950742,60,57592.800676
21.292835,60,57774.965102
21.128955,60,57961.440228
20.323365,60,58167.516418
24.052788,60,58358.274386
17.682193,60,58550.954502
11.343497,60,59221.509861
19.327187,60,59415.61523
13.853347,60,59593.279626
29.140003,60,59832.491525
18.652425,60,60029.445406
20.639972,60,60232.98691
22.34866,60,60416.16115
24.865009,60,60601.592603
24.869571,60,60799.577364
26.602699,60,61126.024505
