#{"t_start": 1599836039.8484995, "env_id": "cdtn-more-simplified-v2"}
r,l,t
0.289928,60,206.228277
2.873996,60,519.522877
0.002115,60,761.112595
0.0,60,844.735468
0.0,60,955.133605
0.206233,60,1260.630374
1.120481,60,1491.213869
3.671642,60,1719.945498
0.0,60,1832.870569
0.0,60,1930.169805
0.0,60,2021.992368
8.604072,60,2171.948814
0.0,60,2273.104203
0.0,60,2399.47679
3.8e-05,60,2720.719012
1.868219,60,3077.766567
0.000431,60,3386.981327
3.2e-05,60,3658.478516
3.3e-05,60,3844.856255
0.0,60,3929.401475
1.165463,60,4050.996916
0.0,60,4197.032533
0.0,60,4289.712111
2.600421,60,4512.212121
0.0,60,4711.204965
0.072166,60,5051.401141
0.0,60,5152.698562
0.110538,60,5477.423312
0.792932,60,5672.944458
2.1e-05,60,5922.106668
2.5e-05,60,6050.894178
2.555861,60,6425.750962
0.011267,60,6635.800992
2.9e-05,60,6866.524674
0.808224,60,6981.777975
2.432532,60,7275.591361
0.0,60,7366.328598
4.574638,60,7590.818022
0.013254,60,7916.289668
1.680067,60,8307.087215
0.0,60,8482.807031
4.61114,60,8748.225692
0.001177,60,9076.205404
0.005398,60,9453.678309
0.000157,60,9712.345467
2.043543,60,10048.197889
0.000579,60,10438.207942
0.002961,60,10853.78566
1.153642,60,11202.947021
0.004575,60,11582.958301
1.174122,60,11717.739015
0.000393,60,12037.597506
0.70248,60,12145.784144
4.229462,60,12340.004714
0.000481,60,12661.679044
0.0,60,12870.780358
0.272608,60,13038.442319
3.861508,60,13178.731551
0.617627,60,13533.859665
5.95305,60,13846.145245
1.762179,60,14162.190016
2.623523,60,14501.241778
0.030981,60,14855.30566
0.05748,60,15222.787343
0.002198,60,15578.875406
0.020571,60,15981.424933
6.739961,60,16177.651077
2.915965,60,16481.18669
0.000631,60,16852.461271
0.423694,60,17121.469033
2.619621,60,17292.49106
7.450625,60,17451.319135
6.427676,60,17640.457917
3.422176,60,17967.880059
4.551479,60,18153.062305
7.145699,60,18330.997524
1.308195,60,18568.426734
3.019991,60,18924.827649
2.095024,60,19253.944716
2.601133,60,19631.523188
8.062279,60,19899.539394
2.317146,60,20252.651124
1.952158,60,20500.305201
2.792829,60,20662.558418
4.913846,60,20912.728726
2.431609,60,21257.234984
4.306257,60,21490.584242
2.189453,60,21641.501626
0.0,60,22000.921538
2.584653,60,22361.156722
1.933119,60,22673.944479
0.817582,60,22871.288087
3.985154,60,23225.775824
1.851787,60,23421.994222
4.231819,60,23778.443864
2.328134,60,24138.324021
0.909803,60,24493.923151
2.974269,60,24816.726918
2.514967,60,24959.967955
1.424207,60,25244.602863
0.553232,60,25487.686199
2.237396,60,25832.065822
2.984465,60,26116.965729
1.431196,60,26239.547326
3.831613,60,26554.02685
1.67177,60,26738.806194
1.231305,60,27052.994015
1.267409,60,27310.239759
0.940927,60,27596.309182
6.780485,60,27820.361385
6.10575,60,28121.030352
4.817175,60,28376.348936
0.0,60,28682.986457
0.605979,60,28806.181947
2.129669,60,29045.671683
1.331029,60,29357.151719
8.718824,60,29594.774063
0.0,60,29893.96871
1.054033,60,30197.971645
6.333587,60,30537.010497
1.529241,60,30862.853289
0.396702,60,31214.437224
1.432858,60,31335.12484
0.0,60,31570.076602
0.0,60,31872.987001
0.414291,60,32162.055794
1.988557,60,32394.609222
3.311234,60,32683.154974
7.204895,60,32955.741132
0.0,60,33268.955623
0.0,60,33603.660608
5.599896,60,33933.485268
5.522514,60,34294.660336
4.772121,60,34687.297652
0.406584,60,35064.740904
0.062143,60,35444.954186
0.0,60,35710.450565
0.0,60,36039.18151
0.0,60,36281.656677
0.0,60,36508.612722
5.303551,60,36908.458668
2.255933,60,37237.902423
1.705473,60,37512.8709
4.16736,60,37902.31548
0.243065,60,38254.406313
10.861538,60,38500.992877
5.549613,60,38937.235485
6.211026,60,39203.748354
2.896549,60,39568.223073
8.512197,60,39808.726738
7.596547,60,40119.100745
7.120549,60,40448.402101
7.483786,60,40616.088052
5.531804,60,40868.413946
12.366676,60,41115.583014
6.966745,60,41468.769668
9.234549,60,41775.27496
9.500705,60,41964.278105
8.531139,60,42277.19523
5.897665,60,42695.002317
6.715675,60,43033.287576
7.566433,60,43292.17444
2.330214,60,43578.54369
8.393804,60,43881.915799
6.141303,60,44215.533566
7.974725,60,44504.919035
11.333379,60,44763.631724
4.813904,60,45044.47161
7.136331,60,45328.293182
8.767672,60,45625.602409
6.476816,60,45914.711744
7.651737,60,46177.583547
6.486979,60,46527.610123
10.46097,60,46812.588623
7.643247,60,47136.791321
7.230766,60,47439.309615
11.107831,60,47654.323753
6.192939,60,48034.758037
9.014322,60,48290.424669
10.815081,60,48445.449447
5.822848,60,48722.189584
8.125364,60,48976.479034
10.110373,60,49258.031301
7.499233,60,49591.824508
7.605792,60,49829.4129
9.091799,60,50091.238214
9.577911,60,50384.041412
7.428053,60,50641.560772
8.761233,60,50884.700732
12.180555,60,51056.899347
12.078542,60,51318.082937
10.510861,60,51506.150107
6.531104,60,51805.675834
11.955208,60,52042.057484
8.448654,60,52314.123558
8.52691,60,52590.947443
7.420139,60,52854.853538
10.702273,60,53143.392077
11.327002,60,53425.911792
8.411224,60,53718.647439
12.722932,60,54015.524291
10.683603,60,54265.447568
7.649752,60,54527.062702
9.059898,60,54729.306215
12.483858,60,54917.819014
13.163636,60,55169.963655
9.029476,60,55433.484144
10.325173,60,55715.935008
7.861151,60,55927.618249
12.902308,60,56128.539153
10.56392,60,56419.897011
7.402636,60,56691.099591
8.553618,60,56947.313435
9.681603,60,57175.526759
8.273664,60,57460.231177
8.476566,60,57702.861067
9.615187,60,57934.074077
13.334377,60,58168.028931
11.831805,60,58396.732993
13.693177,60,58620.238924
11.341894,60,58861.194514
5.932552,60,59207.054846
10.501782,60,59449.642758
8.839058,60,59677.583242
8.506939,60,59901.733849
6.32546,60,60110.982394
9.078243,60,60386.178203
9.244418,60,60657.321118
8.881,60,60922.925186
12.334453,60,61210.450921
11.02396,60,61463.966247
13.673954,60,61691.001637
5.207998,60,61837.56205
12.048096,60,62111.222093
4.704203,60,62325.248446
2.276594,60,62540.495329
9.218313,60,62809.817838
10.686707,60,63034.431762
9.463453,60,63306.250437
14.226182,60,63566.963419
8.226476,60,63847.446578
3.932282,60,64022.983401
10.192384,60,64302.911407
6.185775,60,64456.264348
10.90743,60,64712.514409
1.794226,60,64857.990205
14.477356,60,65100.385051
7.889972,60,65408.031069
9.755911,60,65657.866477
10.211528,60,65907.950468
7.624069,60,66168.475718
7.949241,60,66486.180694
7.981145,60,66746.849985
4.65392,60,66946.927011
12.940099,60,67165.14755
6.363221,60,67394.994034
5.763465,60,67740.917506
8.096101,60,68020.892183
13.105248,60,68268.166324
11.597362,60,68531.98294
8.63252,60,68807.709875
6.237894,60,69117.07538
9.634601,60,69381.423943
7.523776,60,69682.732952
9.652872,60,69970.826216
8.601372,60,70218.965785
7.936989,60,70522.208685
12.289435,60,70770.124472
7.013697,60,70959.623451
7.454577,60,71265.294312
10.409585,60,71486.169477
9.127159,60,71657.21573
10.653671,60,71831.338259
14.667418,60,72057.911446
8.289712,60,72338.465158
9.10503,60,72577.363116
8.714164,60,72854.035974
9.071471,60,73119.671013
12.371689,60,73359.398714
5.024731,60,73489.765053
9.930447,60,73712.597317
8.55049,60,73948.209363
8.539778,60,74111.120352
9.845402,60,74359.54484
7.851787,60,74625.92647
8.280821,60,74888.816819
5.422355,60,75149.048435
9.173114,60,75390.357824
10.53656,60,75599.625683
9.066743,60,75859.505206
10.286189,60,76083.637243
9.263486,60,76285.860647
9.063692,60,76565.866114
9.456303,60,76841.808897
9.288215,60,77075.18114
8.306744,60,77333.135458
8.288208,60,77632.370091
10.266798,60,77880.230916
13.152372,60,78089.389281
6.655846,60,78394.615672
8.757525,60,78630.470421
9.397214,60,78900.463877
9.290134,60,79167.769834
7.854565,60,79442.430264
8.889865,60,79663.236198
10.183262,60,79877.679217
9.26689,60,80110.21662
14.201578,60,80236.050318
12.283297,60,80488.458915
8.592936,60,80838.730193
7.46038,60,81113.609422
9.143501,60,81373.369494
9.232478,60,81655.727368
8.395721,60,81875.472308
6.543336,60,82130.884815
8.381821,60,82371.250869
9.976723,60,82570.316632
8.476136,60,82841.370542
9.22853,60,83083.052643
10.430699,60,83321.662438
9.30526,60,83591.795341
7.642956,60,83868.243274
10.186257,60,84093.078156
9.673858,60,84361.361104
9.562863,60,84630.80238
8.920445,60,84895.638188
8.56536,60,85171.717518
9.457899,60,85455.187603
11.5462,60,85672.970916
8.894836,60,85894.930852
11.167761,60,86128.932353
13.743568,60,86329.259735
13.331311,60,86561.281039
6.855851,60,86885.570873
9.346764,60,87110.280137
8.841007,60,87345.249925
7.741786,60,87629.782875
9.041685,60,87866.579308
10.045314,60,88132.490958
8.647035,60,88362.437962
10.87294,60,88660.241781
10.92035,60,88936.528594
8.723534,60,89239.057223
9.236744,60,89476.96031
9.304881,60,89729.658207
13.759326,60,89945.123269
8.919277,60,90180.178919
14.660722,60,90473.233033
8.566162,60,90748.916665
7.823725,60,91051.136754
7.615574,60,91378.102195
7.451641,60,91696.730329
8.665312,60,91938.335137
11.288117,60,92239.871622
11.634386,60,92461.149504
9.241753,60,92705.174924
10.540227,60,92924.693753
13.73222,60,93114.59795
9.10495,60,93362.521899
9.617196,60,93597.755496
10.060895,60,93872.029823
7.424034,60,94140.809995
8.923522,60,94429.67181
8.421685,60,94686.116598
7.559822,60,94959.835463
8.343217,60,95195.098912
8.29802,60,95481.637027
16.063959,60,95677.495667
8.323405,60,95927.95372
12.268683,60,96128.556953
11.545339,60,96405.124234
7.87466,60,96688.941701
8.928324,60,96926.363451
12.609649,60,97171.235674
9.142259,60,97421.577233
8.947126,60,97718.155468
7.241757,60,97999.490604
9.129794,60,98252.443423
7.839125,60,98557.448174
8.407996,60,98831.521684
7.881477,60,99061.015875
11.172026,60,99325.230584
12.511019,60,99567.053623
8.973128,60,99856.308252
