#{"t_start": 1613058930.2146251, "env_id": "cdtn-more-simplified-v2"}
r,l,t
0.0,60,480.594351
-0.003466,60,1027.045366
-0.330873,60,1517.011885
-0.0061,60,2069.654463
-0.0,60,2179.920905
0.0,60,2377.1787
1.91358,60,2529.748531
0.0,60,2796.259422
1.214572,60,3291.258528
-0.520031,60,3859.527684
-0.0,60,4166.228685
0.0,60,4289.773607
0.0,60,4749.211485
-0.019665,60,5274.958222
0.0,60,5408.96122
0.05048,60,6001.488636
0.0,60,6136.324469
8e-06,60,6598.991052
-0.0,60,6795.703779
0.0,60,7056.549523
-0.424182,60,7446.545045
0.0,60,7760.88135
0.0,60,8008.609324
2.939768,60,8306.24201
0.0,60,8462.689402
-0.001818,60,9141.883028
-0.282929,60,9481.763588
0.0,60,9613.474663
2.2e-05,60,9789.178645
2.085838,60,10299.640551
0.0,60,10801.49728
0.077372,60,11418.734194
0.0,60,11927.194423
0.0,60,12493.632291
-0.020128,60,13180.731523
-0.006141,60,13505.348619
0.42607,60,14046.800527
-0.074056,60,14640.498561
-3e-06,60,14924.322562
1.153517,60,15178.279641
0.0,60,15448.555748
0.0,60,15855.442624
-0.2605,60,16398.34149
0.0,60,16950.154624
3.2e-05,60,17272.058125
0.009652,60,17803.004633
0.0,60,18221.747711
0.0,60,18665.030028
0.0,60,19246.104107
-0.0,60,19600.615856
-0.002279,60,20219.240616
0.045083,60,20762.047235
-0.002101,60,21326.173839
0.034812,60,21935.691219
0.0,60,22292.856447
-0.0,60,22862.614026
0.018798,60,23528.993143
-0.0,60,24086.744858
-0.006479,60,24647.969324
0.0,60,24756.281271
0.0,60,25009.848853
-0.009072,60,25634.991106
0.294076,60,26073.829385
0.0,60,26712.562713
0.342992,60,26979.669231
0.0,60,27580.537674
0.014917,60,28207.159475
0.063593,60,28828.060236
2.423762,60,29227.533122
1.854704,60,29839.089829
1.330652,60,30546.639707
-0.00354,60,31369.634248
1.278746,60,31668.498818
-0.001179,60,32217.212834
0.025015,60,32949.668001
3.007484,60,33374.738802
2.778575,60,34122.907405
3.352936,60,34767.53016
0.003879,60,35416.03478
1.122793,60,36135.832916
-0.088748,60,36726.529745
3.25543,60,36980.604208
0.0,60,37538.268476
2.173795,60,38189.129852
1.720004,60,38763.265492
2.567917,60,39434.015878
1.843533,60,40101.198778
7.404844,60,40728.977772
