#{"t_start": 1613058930.1833746, "env_id": "cdtn-more-simplified-v2"}
r,l,t
-0.136658,60,597.392201
-0.115119,60,1051.223392
0.16767,60,1567.875735
-0.0,60,2076.608992
0.0,60,2201.240362
0.0,60,2313.97725
0.0,60,2805.87023
0.0,60,3383.682766
-0.0,60,3492.476154
9.021671,60,4071.306269
-0.0,60,4187.796952
-0.0,60,4327.433801
4.872033,60,4809.578325
0.0,60,4953.174998
-0.0,60,5361.247215
0.264549,60,5887.104419
-0.0,60,6298.701597
0.0,60,6413.634771
2.865249,60,6875.308865
4.537843,60,7203.813225
-0.268183,60,7673.770041
-0.0,60,8090.260914
0.0,60,8234.219579
-1e-06,60,8597.007857
0.0,60,8724.122381
0.0,60,9024.631254
-0.000749,60,9566.039041
-0.332987,60,10085.914613
2.267478,60,10452.402627
0.798213,60,10826.890509
-0.0,60,10992.460036
-0.12329,60,11500.890876
0.0,60,11608.911303
-0.0,60,11749.068484
0.0,60,11893.326381
0.0,60,12022.004146
0.0,60,12134.74868
0.0,60,12244.899464
1.389218,60,12694.276133
0.19378,60,12893.464331
0.326219,60,13381.861279
0.093267,60,13883.407248
4e-06,60,14242.244276
-0.0,60,14353.965858
-0.311938,60,14710.478868
-0.04826,60,15228.135205
0.0,60,15363.772956
5.057006,60,15724.844945
0.0,60,16151.023768
0.0,60,16363.115239
-2e-06,60,16953.420251
-0.0,60,17103.98861
-1e-05,60,17244.127285
0.0,60,17360.356889
0.399174,60,17818.48964
0.891956,60,18337.35507
0.0,60,18445.554502
0.0,60,18649.696867
10.427011,60,19007.353034
0.0,60,19116.841151
0.0,60,19468.469363
0.0,60,19857.295209
1.267573,60,20558.393902
5.978096,60,20827.07671
2.82344,60,21187.315856
10.316747,60,21533.327855
0.948325,60,22125.689436
2.296435,60,22641.277411
1.359568,60,23163.7648
0.833015,60,23896.899434
6.502416,60,24355.934505
2.462459,60,25029.882977
4.402235,60,25267.189835
0.0,60,25452.737448
8.191754,60,25662.511245
5.239706,60,26120.732482
5.173117,60,26361.798758
0.236419,60,26870.805672
2.94157,60,27279.685657
5.198777,60,27643.749713
-0.0,60,28063.578116
0.0,60,28185.547379
8.375673,60,28832.801902
6.734011,60,29110.686677
1.729653,60,29762.690142
4.855901,60,30068.83031
6.23789,60,30643.717306
0.0,60,31291.807988
5.233824,60,31919.135238
2.363201,60,32541.028332
3.659885,60,33147.753528
2.736822,60,33428.712978
1.615853,60,34155.977407
6.920549,60,34804.144377
11.947217,60,35394.061917
1.357332,60,36111.251843
1.361565,60,36868.485925
16.964486,60,37461.943516
1.77161,60,38119.395004
6.582947,60,38585.297751
9.231758,60,39251.539244
5.812271,60,39629.894264
8.106102,60,40275.897578
10.515746,60,40860.236142
2.338118,60,41393.606214
5.070739,60,41884.79566
12.781573,60,42211.878103
7.777472,60,42628.68801
3.718438,60,43219.50102
4.436008,60,43699.63966
9.071009,60,44282.296852
15.343601,60,44629.760951
6.189291,60,45353.169907
4.176946,60,46024.652482
9.808066,60,46510.154694
7.594222,60,46946.616255
7.397051,60,47469.20644
11.977758,60,47861.16978
4.037011,60,48278.439181
15.537865,60,48673.043442
8.791537,60,49296.388917
0.005888,60,49962.638068
8.326169,60,50528.91558
9.623612,60,51104.977411
