#{"t_start": 1612195369.7649386, "env_id": "cdtn-more-simplified-v3"}
r,l,t
-0.056143,60,385.094516
1e-05,60,908.660896
0.0,60,1251.894551
0.0,60,1367.504154
0.0,60,1514.551329
-22.08231,60,2014.867379
0.0,60,2196.070858
0.0,60,2365.071201
2.102786,60,2813.587723
0.0,60,3042.510061
0.60667,60,3386.229493
-10.424922,60,3900.991844
0.0,60,4257.383182
2.007664,60,4781.046257
-3.980536,60,5195.281463
0.0,60,5598.203794
-10.910695,60,6102.233673
0.0,60,6233.640189
0.0,60,6442.570683
-3.208146,60,6918.306005
0.0,60,7114.88452
-33.877562,60,7606.298741
0.0,60,7713.486465
0.0,60,7855.127364
0.0,60,8040.174613
2.1e-05,60,8407.408409
0.0,60,8631.674477
0.0,60,8920.221929
0.0,60,9183.042871
1.150643,60,9679.251186
0.0,60,10033.111203
4.181682,60,10413.79947
0.0,60,10928.656212
0.0,60,11181.035311
-0.381686,60,11659.551891
-19.660915,60,12177.224802
0.637657,60,12661.213192
1.787176,60,13003.153043
0.0,60,13432.169528
0.0,60,13865.342267
0.74349,60,14389.37457
0.0,60,14970.787901
5.397296,60,15228.569669
0.0,60,15397.741885
0.0,60,15510.492111
0.0,60,15899.024132
0.0,60,16415.446659
2e-06,60,16908.353892
0.0,60,17204.729487
0.0,60,17367.745444
-0.120269,60,17966.19976
1.441157,60,18514.635313
0.040188,60,18838.526586
-8.641491,60,19269.328927
-1.509387,60,19812.314384
-13.636859,60,20239.279684
0.0,60,20539.139653
0.032206,60,21102.797032
0.0,60,21228.28166
0.0,60,21337.813126
0.0,60,21576.579233
-22.801921,60,22033.996163
0.0,60,22515.137753
0.0,60,22708.481892
0.0,60,22824.528995
2.801647,60,23200.576622
3.179846,60,23512.505094
2.678669,60,23823.350196
0.0,60,23938.319183
0.0,60,24052.147529
0.0,60,24175.350901
-1.360553,60,24714.836354
-1.841204,60,25379.38681
5.662816,60,25718.99751
0.0,60,25939.388579
0.0,60,26342.764381
0.0,60,26871.859194
0.0,60,27275.678795
0.0,60,27710.023414
1.293842,60,28386.946645
1.342576,60,28911.126262
-17.6479,60,29379.296118
5.046043,60,29773.937531
0.0,60,30271.757325
0.990064,60,30655.527565
1.629915,60,30970.861641
0.0,60,31459.223332
0.0,60,32017.273832
1.480309,60,32225.932978
1.494446,60,32925.719222
0.0,60,33466.66912
0.212244,60,33933.846504
0.371234,60,34517.238959
-10.848905,60,34905.961854
3.501416,60,35460.967491
0.602461,60,36068.140315
6.285642,60,36679.498046
-0.270302,60,37281.33136
5.503048,60,37829.760614
4.535854,60,38338.302249
2.887423,60,38723.648886
0.0,60,39203.449209
0.486859,60,39786.324307
2.48665,60,40375.26567
3.376594,60,40759.65398
0.0,60,41285.500936
6.449161,60,41815.965846
6.036853,60,42434.62558
0.808446,60,43098.258435
0.0,60,43707.840566
0.17521,60,44306.327884
2.110533,60,44891.330638
6.500824,60,45160.660474
5.369899,60,45499.724491
-0.911453,60,46043.867504
0.621976,60,46569.291612
2.30869,60,47198.815241
-11.493825,60,47480.113247
4.361359,60,48054.275866
5.350244,60,48701.435828
3.55692,60,48917.733501
0.79961,60,49397.063394
0.788673,60,50008.815584
13.473978,60,50500.887017
4.741071,60,51121.748496
0.755504,60,51632.394449
-0.618978,60,52170.521208
0.547478,60,52710.586176
5.223473,60,53324.447474
3.27429,60,53654.37037
2.709453,60,53967.215075
1.607965,60,54452.359526
1.123462,60,54967.376666
4.242067,60,55429.034256
5.716093,60,55738.628911
0.757976,60,56218.977777
4.588196,60,56750.448018
6.642636,60,56971.08926
5.397176,60,57444.059339
3.827052,60,57786.441786
0.704138,60,58263.833705
1.34272,60,58839.475885
2.216498,60,59317.149042
1.047588,60,59839.901402
6.692009,60,60146.089702
2.19318,60,60755.919412
2.033889,60,61276.955673
1.5818,60,61876.707207
1.50093,60,62369.306363
2.975285,60,62699.447936
6.352074,60,62939.636035
5.673834,60,63234.340195
-1.307273,60,63800.185664
-2.053727,60,64260.90589
-0.658709,60,64673.125706
2.5652,60,65041.100362
5.467727,60,65267.476993
3.035001,60,65702.448761
1.94092,60,66154.154902
7.826162,60,66867.631068
1.005865,60,67280.133579
3.907693,60,67875.168331
6.223776,60,68097.622719
0.766662,60,68528.710339
0.871577,60,68702.992529
4.18529,60,69099.354028
3.845367,60,69551.309501
5.181205,60,69911.62382
14.241405,60,70263.064678
-0.596695,60,70655.222821
3.156539,60,71104.693672
0.05348,60,71510.258021
1.682623,60,72040.335217
-3.125042,60,72570.696878
-0.806256,60,73071.902067
5.182407,60,73452.126549
4.527743,60,73704.821981
3.229118,60,74140.942757
2.104507,60,74776.945192
6.281799,60,75155.071596
-2.225545,60,75678.277588
3.278179,60,76122.888551
6.545058,60,76468.00283
7.504211,60,76798.113346
3.292419,60,77234.942956
3.990404,60,77795.292265
-2.354772,60,78325.12212
1.034269,60,78793.82675
8.968856,60,78993.796135
6.264284,60,79337.487891
1.600541,60,79820.364388
3.003144,60,80251.506319
-0.50382,60,80731.226514
3.59489,60,81139.352452
1.223658,60,81613.885078
6.270459,60,81908.276556
-0.06253,60,82511.278291
4.190691,60,82850.026664
8.424597,60,83146.527493
8.66168,60,83457.481495
10.672669,60,83777.044885
2.268231,60,84245.527596
7.589085,60,84669.685
2.599881,60,85145.858156
4.923711,60,85622.093818
7.604389,60,86003.016688
0.551854,60,86517.178868
5.656833,60,87026.695816
1.080645,60,87538.165893
3.337092,60,88004.901487
2.834773,60,88478.486635
6.758141,60,88924.3315
9.123485,60,89248.472932
1.796598,60,89779.083638
7.580501,60,90244.34153
0.897705,60,90785.29601
8.133958,60,91277.31897
6.019785,60,91762.81734
8.970183,60,92255.813738
3.043259,60,92759.908705
0.804498,60,93298.191248
2.339786,60,93824.643958
1.604802,60,94378.504666
6.48344,60,94843.662035
0.329309,60,95399.41732
0.623237,60,95923.539901
5.682554,60,96395.212908
5.476551,60,96877.3083
8.102051,60,97263.384675
7.175004,60,97721.918302
2.601315,60,98253.421837
9.022723,60,98670.158899
12.486322,60,99160.080863
8.355923,60,99625.396152
7.855022,60,100150.164779
9.270289,60,100571.182758
9.049447,60,101021.644876
2.210166,60,101530.381878
4.770271,60,101985.08728
10.611194,60,102488.762943
7.076076,60,102999.757703
4.840746,60,103518.103827
5.803734,60,104118.543982
8.330716,60,104643.522919
9.413607,60,104889.758331
4.793268,60,105373.562943
5.353334,60,105930.120097
5.401477,60,106462.568627
-1.918912,60,107008.055049
10.646458,60,107438.056631
5.242008,60,107944.070103
7.726396,60,108436.193767
6.304011,60,108919.851701
1.17207,60,109458.166027
3.961181,60,110022.178317
4.342904,60,110601.039574
6.217481,60,111064.072307
0.338826,60,111581.020014
1.696401,60,112150.419509
11.804409,60,112671.202317
1.466988,60,113253.532188
6.18828,60,113606.172314
4.015793,60,114149.767632
3.683836,60,114798.95702
5.091535,60,115364.631986
7.153337,60,115911.992896
1.474721,60,116425.713073
6.170786,60,117044.157444
9.724232,60,117346.595764
0.073704,60,117901.19101
4.743043,60,118407.83298
4.760691,60,118859.631915
1.537143,60,119386.445787
10.709667,60,119761.108178
2.607137,60,120264.781362
2.759974,60,120865.06422
1.292985,60,121375.596737
4.10138,60,121890.160521
4.855486,60,122377.839882
3.630109,60,122862.915228
2.059213,60,123412.682229
-0.149876,60,123923.792887
1.367376,60,124449.483648
4.905438,60,124878.57847
2.286569,60,125488.51745
1.970734,60,126098.375403
3.350055,60,126633.095434
2.312685,60,127210.159318
1.620414,60,127735.963439
4.356159,60,128238.616567
4.666335,60,128683.555127
