#{"t_start": 1592404429.863553, "env_id": "cdtn-more-simplified-v2"}
r,l,t
2.831698,60,263.842509
3.912991,60,466.056601
0.25907,60,4403.906508
9.741099,60,7833.669258
2.828664,60,9337.390899
9.919778,60,9580.359451
2.696088,60,11887.557878
12.777662,60,12829.855878
9.831253,60,13097.053251
0.063027,60,16032.85498
2.70643,60,17931.729599
3.606708,60,18120.793918
16.555134,60,18300.549637
10.247346,60,18739.160962
0.362551,60,20274.717651
7.606851,60,20464.038355
17.164743,60,20733.554628
14.769948,60,20917.859715
6.966807,60,21107.36451
9.372557,60,21284.066984
4.389563,60,23720.547935
0.002877,60,27192.411996
0.00275,60,30314.184943
0.030885,60,33012.910848
9.813578,60,33258.9488
0.421417,60,35112.446585
0.281098,60,37784.139853
0.021366,60,40540.561162
9.065355,60,40871.841471
0.005251,60,43483.831424
0.11933,60,45487.204717
0.002871,60,48119.020935
18.869402,60,48430.730477
0.480539,60,50727.248958
3.020526,60,51626.670118
16.980261,60,51866.073231
0.187462,60,53987.259598
2.659972,60,54859.481617
16.970734,60,55109.725477
22.386618,60,55459.399513
12.07361,60,55716.827914
16.711272,60,56673.676728
18.278171,60,56900.921936
18.289926,60,57129.155496
0.001022,60,59864.998722
11.890684,60,61483.743944
22.137461,60,61674.811399
22.092783,60,61876.144651
16.20246,60,62092.036982
21.588655,60,62441.285184
22.930475,60,62618.052546
17.747703,60,62840.324194
15.91126,60,63823.547874
19.524661,60,64016.200987
0.001528,60,66711.817035
18.561063,60,66940.363901
22.825608,60,67118.740679
18.095662,60,67299.728434
16.396838,60,67478.891668
16.520673,60,67702.938034
4.245632,60,69648.945076
16.601975,60,69817.767168
22.316806,60,70002.488979
20.876045,60,70190.927348
21.309153,60,70367.070071
22.826362,60,70880.558975
19.62191,60,71078.500868
22.10124,60,71345.266779
17.84452,60,72233.252945
11.346407,60,73265.610055
21.256048,60,73468.148557
23.35758,60,73659.97026
18.715608,60,73871.470573
20.731043,60,74084.774372
17.857092,60,74330.055864
20.627415,60,74497.312197
20.774372,60,74731.792674
23.636903,60,74963.685555
19.85802,60,75217.714045
18.717872,60,75463.982108
23.370271,60,75738.153221
23.625552,60,75936.841684
22.096691,60,76439.946207
17.484772,60,76677.15633
16.618961,60,76882.371377
18.060185,60,77140.97042
21.362657,60,77350.640076
17.882099,60,77596.70604
18.947943,60,78198.988969
22.474094,60,78512.08118
14.892784,60,78682.129586
21.972821,60,78966.349661
17.342835,60,79166.08284
18.618602,60,79440.037952
12.963567,60,79705.685074
17.926725,60,79957.897987
20.858943,60,80142.690668
18.105332,60,80418.246735
18.232589,60,80694.511659
21.508795,60,80897.911926
19.136672,60,81136.147874
18.056225,60,81350.161703
19.823418,60,81626.102887
19.326014,60,81797.901277
19.09086,60,81960.803138
17.377182,60,82297.107034
10.432946,60,82578.275736
10.665352,60,82824.655833
17.429551,60,83163.61233
17.216748,60,83324.000358
18.892235,60,83646.14371
22.552801,60,84373.436383
22.197446,60,85185.398028
22.721562,60,85993.827236
17.170344,60,86275.449153
22.137638,60,87186.925621
22.930691,60,87352.026405
22.409193,60,88130.993852
20.37366,60,88564.938718
21.941771,60,89484.139111
20.8283,60,90217.83667
23.220157,60,90871.368678
30.051092,60,91365.051578
21.977741,60,92240.418745
19.563113,60,93005.733249
14.848294,60,93408.064284
21.700808,60,93749.891794
22.347581,60,94174.797187
20.037288,60,95132.21786
20.324923,60,95691.005118
24.914206,60,95931.043581
18.303807,60,96110.638679
18.973443,60,96291.468932
