#{"t_start": 1595093828.7769973, "env_id": "cdtn-more-simplified-v2"}
r,l,t
0.0,60,93.355477
0.857975,60,429.914444
0.012206,60,851.219073
0.0,60,1071.465107
0.0,60,1144.126516
0.0,60,1308.410974
0.0,60,1463.630049
0.0,60,1815.342456
0.0,60,2168.253044
0.428952,60,2351.286
0.076733,60,2756.604309
0.0,60,3080.501771
0.000915,60,3531.595381
0.0,60,3660.719447
0.0,60,3733.596828
0.0,60,3817.835637
0.44039,60,4148.281744
0.0,60,4289.443212
0.215861,60,4722.040746
0.001668,60,5120.920868
0.0,60,5233.707413
0.0,60,5359.062407
4e-06,60,5749.995425
0.00138,60,6201.981145
0.0,60,6290.687068
0.0,60,6588.896152
0.0,60,6663.687777
0.0,60,6737.564785
0.0,60,6836.209295
0.0,60,7216.238494
0.0,60,7301.335658
0.0,60,7411.616855
0.0,60,7801.672745
0.0,60,8100.663444
0.0,60,8249.722422
0.0,60,8323.267349
0.0,60,8745.747762
0.0,60,8867.651391
0.020193,60,9217.446241
1.856521,60,9436.423852
0.00284,60,9855.304397
3.62877,60,10074.517842
0.0,60,10521.785334
1.076174,60,10845.554193
0.443309,60,11220.487104
2.474533,60,11526.986984
0.000316,60,11862.008952
0.0,60,12226.08508
2.423753,60,12523.041703
0.457612,60,12890.381774
0.0,60,13331.677394
4.221152,60,13481.30127
0.177776,60,13711.241073
0.0,60,13784.968268
0.774588,60,13920.01636
2.141606,60,14061.576765
3.016124,60,14286.441201
1.612736,60,14462.462333
0.0,60,14625.601472
0.0,60,14836.976898
1.187148,60,15243.60292
0.0,60,15318.893275
2.104405,60,15627.377219
0.004114,60,15766.517711
0.0,60,15868.274498
2.812322,60,16018.810115
0.0,60,16261.093971
0.000588,60,16564.144248
0.0,60,16752.659696
5.276425,60,16944.257681
2.91476,60,17087.154469
0.0,60,17478.770175
1.226798,60,17850.120229
1.351656,60,18004.282584
3.277824,60,18155.830815
3.580372,60,18416.885551
0.0,60,18705.396097
0.0,60,19098.005368
3.76989,60,19316.905824
4.01033,60,19481.005334
2.611772,60,19734.344477
2.436673,60,19861.626245
0.326464,60,20139.342237
2.964677,60,20440.101533
0.0,60,20838.397292
2.115565,60,21045.390054
4.072968,60,21271.179063
3.125589,60,21449.136869
3.946126,60,21577.879294
2.521071,60,21882.837374
2.888792,60,22058.606508
1.151021,60,22185.256267
2.584224,60,22343.086502
3.209435,60,22471.479927
4.003466,60,22698.725651
4.656431,60,22867.197104
4.940322,60,22997.47062
2.064331,60,23259.120885
4.952459,60,23406.282897
2.86246,60,23655.932606
3.380436,60,23843.239374
4.705774,60,23974.231278
