#{"t_start": 1599836039.8484995, "env_id": "cdtn-more-simplified-v2"}
r,l,t
1.289194,60,314.532783
0.699034,60,550.511259
0.130465,60,721.71222
0.0,60,812.106568
4.953654,60,948.446079
0.0,60,1097.274975
1.781944,60,1414.642296
0.0,60,1517.812446
0.276444,60,1709.833773
4.902023,60,2030.122164
0.0,60,2125.57082
0.0,60,2227.759252
0.0,60,2349.573491
0.0,60,2526.068216
0.0,60,2644.66874
0.0,60,2825.117345
0.0,60,2914.41326
3.486004,60,3158.698612
0.169322,60,3508.688039
0.001811,60,3816.320067
3.919855,60,3995.459966
0.0,60,4090.404668
0.0,60,4339.449021
0.03648,60,4663.258494
0.0,60,4746.240722
0.0,60,4890.735289
0.0,60,5166.183337
0.0,60,5265.154206
0.0,60,5461.139045
0.0,60,5745.846526
0.0128,60,6039.344513
1.704265,60,6400.779106
0.0,60,6544.50308
3.79485,60,6800.387624
4.933273,60,7028.458386
0.0,60,7311.694611
0.0,60,7400.068911
0.0,60,7645.308484
1.983916,60,8034.435674
0.0,60,8140.660184
5.859203,60,8502.247615
0.0,60,8630.22203
1.937012,60,8771.994907
5.328501,60,9042.042228
0.002286,60,9401.058939
0.018751,60,9619.687696
1.510793,60,9893.442173
0.0,60,10158.279314
2.123967,60,10492.655167
3.631314,60,10792.603081
0.0,60,10896.48496
0.672425,60,11141.654921
3.92907,60,11515.262902
2.558336,60,11756.645889
0.0,60,11859.933178
0.0,60,12037.550628
0.0,60,12168.318826
0.0,60,12383.494587
4.556797,60,12712.079666
3.7406,60,12841.118221
1.846235,60,13156.853865
0.0,60,13250.829599
0.0,60,13353.627338
6.851868,60,13543.693218
1.063082,60,13875.118448
0.0,60,14151.627481
7.603299,60,14465.142534
0.0,60,14552.795259
7.016953,60,14842.413587
0.0,60,15064.618986
0.0,60,15166.809437
3.14722,60,15469.231335
2e-05,60,15740.543331
0.463373,60,15864.205453
2.248965,60,16173.931087
0.0,60,16281.870405
0.0,60,16486.280947
5.191093,60,16816.315717
9.613318,60,17068.663368
0.0,60,17163.171733
5.70996,60,17405.685341
5.609573,60,17779.031772
0.0,60,17882.613631
6.652608,60,18239.80976
0.726529,60,18362.096899
1.684258,60,18532.168451
2.713045,60,18870.63123
0.0,60,19132.389089
0.0,60,19229.298785
0.562318,60,19442.459349
8.351852,60,19746.951748
6.378286,60,19953.314413
0.0,60,20062.318379
1.354152,60,20269.183247
2.262192,60,20555.316548
10.068072,60,20837.181803
7.292505,60,21157.094601
5.640936,60,21533.34015
0.0,60,21641.282876
0.577503,60,21882.854149
2.993334,60,22001.359038
5.733326,60,22310.444874
5.38218,60,22621.102873
1.852985,60,22947.47352
8.646446,60,23225.947698
4.78897,60,23604.584544
4.264662,60,23914.797239
5.867371,60,24057.156024
7.61348,60,24357.677876
7.559193,60,24561.513188
8.175393,60,24702.03579
9.723422,60,24999.600377
4.514821,60,25326.849371
6.048391,60,25701.890935
2.006602,60,25989.187323
6.472821,60,26232.29588
8.784705,60,26491.954167
5.273461,60,26929.754389
8.389722,60,27280.077845
1.881189,60,27609.060638
4.800337,60,27887.651074
13.1625,60,28226.772048
4.507883,60,28480.636195
8.177677,60,28770.646485
0.419234,60,28932.874322
5.390596,60,29318.491228
7.734547,60,29593.133434
6.984657,60,29905.582124
10.605881,60,30102.160389
3.065296,60,30513.866487
6.387002,60,30841.177
6.936134,60,31196.35594
13.190044,60,31488.996428
3.087031,60,31859.610471
6.169583,60,32186.952546
12.433775,60,32419.550753
10.212955,60,32667.778494
8.419465,60,32956.366136
4.496802,60,33251.874627
9.249634,60,33592.643121
12.360186,60,33872.662865
4.527447,60,34121.886907
12.358113,60,34393.723255
7.111034,60,34614.11566
8.396362,60,34907.236923
7.879025,60,35153.209732
8.717439,60,35346.485363
7.47278,60,35705.466184
6.432217,60,35956.525422
9.732606,60,36248.852555
7.263013,60,36449.323403
12.357115,60,36745.713371
5.78199,60,37021.415625
7.585475,60,37349.406621
11.415835,60,37622.463475
6.701925,60,37925.44376
12.589957,60,38050.994887
15.355546,60,38320.291897
13.351889,60,38593.757992
8.403452,60,38896.336935
8.656845,60,39187.371357
7.36969,60,39476.238305
4.101249,60,39791.971818
8.56039,60,40030.882517
14.084585,60,40302.099998
11.390008,60,40564.764791
2.909229,60,40851.130338
8.453346,60,41133.635795
9.427956,60,41389.609423
13.140476,60,41649.005423
14.622121,60,41923.927929
8.137035,60,42207.899386
8.79276,60,42497.229434
13.738055,60,42758.157673
9.191959,60,43058.447258
9.238382,60,43296.065095
13.071952,60,43603.547835
10.250887,60,43950.006351
9.065256,60,44258.836122
13.518834,60,44546.458339
8.464258,60,44806.919049
15.869125,60,45032.737201
10.781775,60,45361.843218
