#{"t_start": 1592404429.847927, "env_id": "cdtn-more-simplified-v2"}
r,l,t
1.254274,60,1575.527555
0.397532,60,4061.652434
11.737866,60,4511.212118
3.20032,60,7912.724999
3.012961,60,8124.385492
10.89103,60,8854.159878
3.916811,60,13443.908722
2.644943,60,17766.31636
13.808295,60,17999.433123
0.02419,60,21705.917833
0.003463,60,24638.172159
0.503881,60,27258.382506
19.098045,60,27460.694744
1.265682,60,29183.745638
0.013313,60,32220.052095
19.78606,60,32445.993308
0.023867,60,35907.739262
2.471829,60,39590.086957
0.610172,60,43419.801732
6.007454,60,45847.191264
17.452176,60,46155.711446
4.017961,60,48648.910735
0.192951,60,51384.954936
0.007639,60,53908.28358
0.105585,60,56134.713373
0.002345,60,59870.717883
0.62001,60,62980.742852
0.003408,60,66433.131841
5.504405,60,68731.250659
14.42384,60,68963.258908
0.016722,60,71614.642166
20.25891,60,71815.956076
0.057734,60,75421.482729
10.565972,60,75682.607724
0.174704,60,78063.2207
4.99392,60,80085.146648
14.475894,60,81098.541108
0.819976,60,82910.348939
16.565293,60,83085.971261
21.506702,60,83344.697493
0.015116,60,85851.307578
0.08165,60,88530.255391
0.555559,60,92207.023155
5.389313,60,93829.579845
3.869546,60,95110.183192
2.617281,60,98708.489899
8.952961,60,98923.550739
19.211971,60,99123.550013
0.041495,60,102712.698029
4.094039,60,103644.082439
17.270002,60,103897.137904
0.004463,60,107541.266737
2.588054,60,108337.365539
12.115949,60,108552.559095
1.994389,60,110254.201835
18.376495,60,110458.887567
3.965224,60,112199.646116
22.647973,60,112457.538637
0.003437,60,115621.321242
17.124156,60,116012.228347
11.161788,60,116207.797006
9.517497,60,117611.245843
3.369553,60,118538.695676
8.179144,60,119224.388335
1.561897,60,121692.40968
6.774982,60,121881.367614
0.001397,60,125223.956251
7.45781,60,125519.84163
1.349394,60,125701.891603
0.004232,60,129481.807762
0.008386,60,133136.094949
1.783019,60,134330.361435
20.330486,60,134546.692186
14.425875,60,135814.371985
3.400094,60,136361.637878
0.726085,60,136559.081704
6.231189,60,138175.425077
0.012707,60,141527.250409
6.290794,60,141782.097772
0.829447,60,143622.454832
0.847639,60,143805.348387
7.627808,60,144111.71402
0.072563,60,147652.007421
0.732566,60,150031.391124
14.978698,60,150825.829248
0.309206,60,153915.492951
22.647878,60,154408.332846
0.001367,60,157991.122433
2.341445,60,158284.49526
11.237514,60,158473.579045
11.416588,60,159561.550508
0.000351,60,162675.861304
0.358409,60,165828.802366
0.01105,60,168944.732298
13.618706,60,169585.765664
6.437335,60,170823.517799
6.175226,60,171185.821109
16.663752,60,171384.509336
0.145043,60,173950.738373
14.358261,60,174116.596351
0.002149,60,176250.899364
0.152441,60,178952.746601
3.870703,60,180611.644275
18.107854,60,180787.630441
10.258943,60,181011.152639
0.015701,60,183354.95521
22.916709,60,183912.176739
4.582827,60,185440.142088
0.166717,60,188098.794789
5.780619,60,189535.560743
5.72464,60,189833.542191
0.035953,60,192930.021785
17.772918,60,193492.174735
2.896258,60,193777.711228
1.27932,60,195388.92114
4.108317,60,195772.241632
8.518326,60,196063.414814
2.743012,60,196242.395657
7.74491,60,197424.731036
24.137251,60,197914.670026
12.496177,60,198117.147358
1.267834,60,198320.954738
0.010366,60,202584.623315
0.022262,60,205103.812547
5.171871,60,205390.571545
1.184881,60,206959.288421
0.019625,60,210500.749781
18.285349,60,210926.517505
0.001989,60,213797.47293
19.608504,60,214621.550675
10.356761,60,214953.794585
14.445174,60,215298.994897
0.014398,60,218485.623106
17.345992,60,219333.585268
11.755372,60,219536.408991
0.400481,60,222809.508639
9.67556,60,224105.879758
0.359541,60,227884.921719
4.055172,60,228250.753553
12.693018,60,228451.899206
0.355122,60,230282.038804
0.108067,60,231958.805039
5.40629,60,232367.416595
0.000837,60,235415.631992
5.756053,60,235693.419172
6.69098,60,235888.610219
23.675939,60,236639.025148
14.271398,60,237409.287905
0.029822,60,240461.632009
2.420829,60,241179.325202
0.000485,60,244161.059635
10.024812,60,245000.971438
5.393243,60,245292.531987
0.991123,60,245462.470357
7.905749,60,245625.867535
0.020157,60,248822.98014
0.383308,60,249008.118049
8.679739,60,249296.69421
0.820557,60,249480.206245
0.026683,60,252926.069906
10.191089,60,253881.894037
3.657047,60,254102.284657
0.00141,60,257066.700546
0.939012,60,257234.182755
5.171959,60,257527.691692
2.236467,60,258324.664064
4.055541,60,258484.837492
18.622542,60,258656.798452
0.025716,60,260768.885249
3.813542,60,263275.697147
0.63443,60,263440.083431
0.02539,60,265416.620294
10.248743,60,265645.744586
0.054349,60,268177.718642
0.391476,60,268341.461655
5.661223,60,268623.258417
13.865765,60,268845.116549
1.994678,60,269019.426435
5.172362,60,269182.546444
10.34042,60,269400.939366
16.174985,60,269866.769433
13.234113,60,270308.917368
7.875764,60,270470.885437
11.685342,60,270708.53222
14.438559,60,271253.114565
0.093703,60,272382.478892
9.164796,60,273585.18484
14.797573,60,273797.125789
0.07156,60,276912.482659
7.036244,60,278791.891235
4.622191,60,278950.011062
5.134171,60,279243.075222
0.152425,60,281457.082202
5.983102,60,281623.313394
14.486978,60,281802.468665
16.413813,60,282030.31864
10.139644,60,283323.638644
10.069631,60,284562.862916
12.56669,60,285312.325228
5.919656,60,285473.262237
10.75557,60,285691.820175
10.712059,60,287013.960696
5.743311,60,287295.005188
10.156833,60,287517.271646
0.383763,60,287680.936722
10.194668,60,287902.139552
5.307416,60,288214.96527
0.001958,60,290745.490676
4.302369,60,291425.025168
11.707477,60,292134.970084
1.273654,60,292337.692567
0.934002,60,292508.999601
4.321041,60,293147.386441
22.701901,60,293680.888207
17.621771,60,294523.69006
10.585022,60,294864.991143
10.005996,60,295517.557759
17.445497,60,296357.864478
15.129093,60,296578.726465
0.007432,60,299985.942866
9.8757,60,301257.426317
5.19713,60,301531.183929
4.551486,60,301684.258528
19.261891,60,302094.639339
12.911207,60,302584.457442
