#{"t_start": 1612195369.8435154, "env_id": "cdtn-more-simplified-v3"}
r,l,t
0.0,60,406.312911
0.432477,60,979.01996
0.0,60,1137.801522
1.359857,60,1405.503779
-5.439934,60,1727.926299
0.0,60,1993.415197
-18.768861,60,2428.539622
0.0,60,2644.883875
0.675119,60,3015.493929
0.0,60,3237.619371
0.0,60,3439.057272
0.0,60,3775.800758
-1.791512,60,4272.648388
5.129138,60,4563.38912
0.0,60,4978.999327
-32.98463,60,5403.422054
0.769062,60,5874.904639
0.0,60,6048.279986
-0.965918,60,6459.91401
0.0,60,6637.117491
1.131541,60,7069.352731
0.0,60,7277.703701
0.0,60,7616.095192
0.0,60,7944.720843
-18.041669,60,8400.595437
0.0,60,8608.486479
0.0,60,8805.049378
0.0,60,8925.143361
0.0,60,9102.136008
1e-06,60,9299.609292
-17.343828,60,9727.000765
0.0,60,10018.876347
1.724006,60,10405.736498
0.0,60,10769.455978
0.0,60,11116.362853
-0.674419,60,11458.254164
0.0,60,11624.895125
0.0,60,11935.661372
0.0,60,12076.552277
0.0,60,12203.568154
0.638787,60,12544.60009
0.0,60,12655.68148
0.0,60,12906.402405
0.642355,60,13252.590594
0.0,60,13413.606538
0.224972,60,13899.904385
0.0,60,14042.326542
3e-06,60,14371.842834
0.0,60,14593.289856
-6.486125,60,15014.162535
1.05001,60,15494.225999
0.0,60,15618.210619
0.0,60,16033.898951
0.0,60,16472.024443
0.127964,60,16733.399971
0.743093,60,17180.291491
0.0,60,17310.510498
-4.232122,60,17700.933151
0.0,60,17993.043119
0.0,60,18305.275074
1.615262,60,18730.97905
0.984476,60,19066.078065
7.380644,60,19318.594195
0.0,60,19525.96961
4.632451,60,19781.641995
0.0,60,19941.903719
0.109242,60,20465.264055
0.0,60,20574.467394
-1.117169,60,20848.155446
0.0,60,21092.171554
0.0,60,21278.984432
0.0,60,21605.422586
0.0,60,21785.005281
0.0,60,22250.933647
7e-06,60,22510.934166
0.0,60,22691.887652
1e-06,60,22914.684978
-1.131309,60,23479.660827
1.663292,60,23825.818503
-0.121678,60,24044.756437
6.626304,60,24331.413263
3.82629,60,24693.507735
2e-06,60,25024.852149
0.970911,60,25408.043308
-0.784726,60,25839.731678
4.830982,60,26203.826148
0.0,60,26311.810747
0.385621,60,26871.921243
0.63585,60,27303.225281
0.496988,60,27816.00755
0.0,60,27944.226557
-8.21846,60,28452.64945
1.106955,60,28922.547709
2.966295,60,29209.701577
0.0,60,29522.717835
1.229721,60,30075.318986
0.0,60,30632.948937
0.0,60,30853.360737
