#{"t_start": 1612195369.8278587, "env_id": "cdtn-more-simplified-v3"}
r,l,t
0.975635,60,476.362736
0.0,60,695.050675
-9.982088,60,1157.114103
-28.950517,60,1599.754203
-12.777317,60,2060.960802
0.0,60,2214.132978
0.0,60,2582.586843
0.0,60,2819.79044
0.0,60,2927.712529
0.0,60,3233.213147
0.0,60,3502.557437
0.0,60,3940.632128
8.612556,60,4279.414051
0.0,60,4412.445574
0.0,60,4640.514308
0.0,60,4903.530463
0.0,60,5048.733872
3.072531,60,5397.53145
0.0,60,5504.623011
0.0,60,5728.828632
0.0,60,5837.8421
0.0,60,6288.936754
0.0,60,6423.679602
0.0,60,6686.836372
0.0,60,6796.305347
1.131274,60,7331.188216
0.070077,60,7677.845345
-17.084243,60,8197.173189
0.0,60,8425.314276
0.0,60,8850.502621
1.132087,60,9130.917341
0.0,60,9363.234445
0.0,60,9528.656652
0.0,60,9669.891311
0.0,60,9784.657164
-0.569227,60,10130.564106
1.378732,60,10515.752372
2.335298,60,10947.7027
-3.863405,60,11482.535491
0.0,60,11645.23894
7.061127,60,12048.646006
0.0,60,12172.005618
0.0,60,12523.568828
0.0,60,12648.353372
-0.812538,60,13223.809314
0.0,60,13500.46612
-1.410634,60,14100.732944
0.0,60,14209.061352
0.0,60,14317.327126
0.0,60,14554.258562
-32.642569,60,15002.240668
0.0,60,15180.741025
1.353021,60,15491.991643
7.244633,60,15972.664484
3.630951,60,16482.946378
-9.28912,60,16965.900466
0.0,60,17187.619658
3.316468,60,17615.245515
-0.030429,60,18113.35254
0.0,60,18385.46276
0.0,60,18563.681872
3.40434,60,19038.734292
6.94014,60,19519.016501
0.0,60,20226.076107
0.0,60,20486.529751
0.268744,60,21090.15596
0.0,60,21307.297018
8.64782,60,21777.130303
1.307981,60,22369.683919
1.09268,60,22780.075363
0.0,60,22932.153793
2.461393,60,23494.457765
-1.496868,60,24035.67833
2.413641,60,24528.038689
7.352156,60,25034.180329
8.819323,60,25569.106158
2.062529,60,26073.529053
8.125073,60,26563.733159
-0.729302,60,27038.176591
6.153943,60,27519.131989
-0.118538,60,28096.648769
-2e-06,60,28574.649721
11.428191,60,29131.217075
1.727454,60,29635.905584
0.469764,60,29972.240688
0.0,60,30386.007136
0.0,60,30501.569866
0.0,60,30610.007583
4.528737,60,31091.189924
0.0,60,31270.815784
0.0,60,31576.004703
2.681797,60,32057.117717
2.084317,60,32515.553299
-8.459522,60,32952.687895
14.466354,60,33309.74491
7.125382,60,33922.705333
0.706382,60,34401.174775
0.0,60,35108.994776
3.376821,60,35579.343231
6.321177,60,36061.171076
0.0,60,36422.448462
-3.390606,60,36897.155773
1.788015,60,37441.597877
0.011094,60,37898.354499
2.414584,60,38289.613963
-3.375599,60,38780.930143
-1.310889,60,39276.136801
2.441352,60,39935.059264
7.93418,60,40254.733224
-3.112336,60,40707.048604
-0.258535,60,41216.343858
6.095423,60,41566.292108
5.389046,60,41887.731458
1.588156,60,42592.376002
-1.434571,60,43115.429986
10.553839,60,43417.963671
8.25013,60,43916.747435
10.987537,60,44345.09327
0.105447,60,44876.2989
2.60656,60,45419.989339
9.586965,60,45658.256014
7.161771,60,46186.477067
8.630693,60,46489.650233
5.601823,60,47023.392231
-4.70128,60,47483.456654
-9.096424,60,47931.806213
5.259088,60,48495.949001
0.416245,60,48843.654679
6.765815,60,49330.578356
8.036109,60,49647.767
3.5162,60,50214.675257
4.678136,60,50688.059105
3.629261,60,51282.467358
