#{"t_start": 1599836039.7860026, "env_id": "cdtn-more-simplified-v2"}
r,l,t
0.0,60,100.091983
0.0,60,194.008049
0.497338,60,341.09932
0.0,60,484.219029
1.155787,60,833.812679
0.0,60,934.582751
1.2e-05,60,1226.77876
2.888363,60,1463.085387
0.0,60,1554.599311
0.0,60,1671.121882
0.0,60,1750.950547
3e-06,60,1932.857303
0.0,60,2020.96111
0.0,60,2163.167108
0.0,60,2263.994807
2.583637,60,2409.556295
1.762675,60,2752.355325
0.0,60,2981.504459
0.0,60,3085.971131
0.184119,60,3433.456108
0.111583,60,3794.019032
0.0,60,3882.76897
0.557915,60,4068.450584
3.633263,60,4432.134849
0.0,60,4720.048729
0.132302,60,5102.019468
0.0,60,5243.666424
1.027876,60,5465.014062
0.0,60,5570.282214
2.066882,60,5945.235185
8e-05,60,6353.553717
1.001766,60,6572.088015
0.0,60,6769.445227
0.0,60,6858.553451
9.188549,60,7014.050579
1.239887,60,7355.312524
1.886219,60,7679.578631
0.0,60,7774.124021
2.061023,60,8153.332496
1.809084,60,8529.923976
0.738322,60,8662.194628
6.442251,60,9041.089092
1.564973,60,9453.068935
1.460369,60,9820.272463
2.679735,60,10187.393221
1.474792,60,10578.376683
0.634014,60,10947.620712
1.030986,60,11338.542553
1.402519,60,11505.32387
0.001476,60,11838.052762
2.802371,60,12117.716656
0.68908,60,12245.801764
0.709293,60,12610.200811
1.323333,60,12774.65509
5.32066,60,12905.395254
2.159105,60,13246.938957
1.899204,60,13558.600631
3.065942,60,13899.543787
1.739702,60,14231.497017
2.982274,60,14549.809351
2.896894,60,14944.351478
4.05852,60,15176.248478
3.283477,60,15516.052208
5.69254,60,15826.966118
2.640284,60,16167.44434
3.239001,60,16539.979926
3.313064,60,16937.457866
1.19659,60,17302.430461
1.488713,60,17690.640037
2.34574,60,17983.647569
1.017757,60,18134.150687
3.759488,60,18452.233997
2.339471,60,18841.502186
2.986148,60,19166.084624
1.061159,60,19521.581079
3.870794,60,19825.325844
2.653824,60,20171.946234
0.594865,60,20533.419065
1.986796,60,20747.087302
3.793968,60,21018.386033
2.94499,60,21422.793425
2.927405,60,21656.581318
6.934118,60,21922.06566
3.629444,60,22122.908566
2.601568,60,22534.682668
4.032603,60,22790.494534
3.121802,60,22922.29688
3.761932,60,23103.426335
1.242928,60,23474.047812
5.589605,60,23767.800342
1.097261,60,23975.401868
6.099783,60,24213.294262
3.693723,60,24592.159113
2.544824,60,24892.33219
5.409907,60,25042.403806
9.65369,60,25358.995045
4.622556,60,25664.806106
2.130943,60,25847.428663
5.161015,60,26145.751736
3.989167,60,26421.954302
2.521577,60,26608.658015
1.597426,60,26911.737494
4.22182,60,27087.608593
1.645764,60,27413.777697
1.169483,60,27667.084851
4.733556,60,27841.347768
6.416781,60,28165.507936
4.304434,60,28475.93273
0.046681,60,28769.802663
2.941507,60,28971.863496
1.44318,60,29137.004968
2.353611,60,29545.17141
3.982437,60,29753.037682
2.862745,60,30097.207249
0.0,60,30361.056291
4.309884,60,30745.476529
2.468396,60,31110.500777
2.782047,60,31460.85014
4.025332,60,31869.627617
17.786846,60,32202.470918
3.379936,60,32348.039831
7.563517,60,32542.556787
0.381954,60,32693.187741
0.0,60,32795.785625
1.048698,60,33165.911173
3.830612,60,33506.89339
4.425876,60,33754.502678
10.74243,60,34131.012347
4.44611,60,34418.149721
7.354626,60,34822.109642
3.001721,60,35183.262301
8.569464,60,35343.79785
2.766501,60,35746.537286
10.420958,60,36007.176282
6.345374,60,36327.475728
8.269833,60,36664.237988
7.672854,60,36995.256294
5.433762,60,37390.787619
7.187313,60,37781.988716
6.950878,60,38090.53513
3.809001,60,38464.611322
15.96372,60,38817.652739
4.35946,60,39190.215125
6.55649,60,39419.526211
7.010652,60,39680.745254
4.534478,60,40005.863184
11.151426,60,40213.894055
11.467293,60,40524.289072
7.766411,60,40870.210826
11.744746,60,41145.106581
8.018348,60,41494.340741
11.473989,60,41850.75628
4.476604,60,42098.834653
9.323978,60,42445.753034
8.330664,60,42802.196598
7.128079,60,42949.628592
13.199416,60,43309.318861
6.051513,60,43650.072332
5.388143,60,43982.29402
10.226863,60,44216.517937
8.370601,60,44592.607172
8.740187,60,44907.651383
9.277853,60,45184.039411
6.32011,60,45472.863124
14.05488,60,45706.85303
5.899957,60,46119.181405
9.873171,60,46486.743368
8.500834,60,46798.053524
5.638379,60,47051.179923
11.031246,60,47278.938459
11.706098,60,47551.808598
5.732228,60,47847.07055
9.342709,60,48196.988054
16.558636,60,48461.375228
9.942162,60,48803.57914
4.086441,60,49025.097444
8.67976,60,49235.857499
7.328733,60,49552.614746
13.07001,60,49817.31667
7.735902,60,50161.703004
6.513578,60,50563.451509
8.957461,60,50899.390297
12.551739,60,51115.508178
10.12208,60,51427.824022
8.388203,60,51802.504007
11.314398,60,52075.891791
9.654043,60,52364.534193
13.946817,60,52573.679255
9.603117,60,52848.351592
18.415637,60,53085.740158
8.736161,60,53237.362221
8.680407,60,53459.557793
13.59951,60,53849.293673
7.504454,60,54134.962775
9.906248,60,54420.378061
12.580034,60,54677.953718
12.897659,60,54885.720782
11.062139,60,55184.872864
11.927266,60,55509.27085
7.068827,60,55796.004795
19.909622,60,56070.782242
10.434676,60,56329.854759
6.32339,60,56524.555207
13.050582,60,56730.668565
10.709113,60,56995.149991
11.421804,60,57323.106758
17.048808,60,57606.224379
14.96513,60,57868.872575
8.01536,60,58046.262166
11.011429,60,58375.574818
17.930942,60,58627.287269
9.288788,60,58914.831593
12.370307,60,59261.595555
16.741391,60,59558.378952
10.864001,60,59886.230446
14.459883,60,60155.817648
12.962676,60,60468.64397
13.136124,60,60741.288417
13.239872,60,60985.826341
11.186529,60,61301.308157
16.027233,60,61549.387212
13.583429,60,61820.430997
14.422966,60,62050.870642
11.217524,60,62291.649504
15.891969,60,62592.788209
10.379603,60,62857.58954
16.264363,60,63231.924531
11.924133,60,63546.632159
16.08689,60,63819.22439
14.677321,60,64151.332615
6.899376,60,64424.243366
13.745718,60,64670.865001
12.024523,60,64915.062997
8.97737,60,65201.390057
14.561971,60,65473.527109
10.389539,60,65754.315254
9.522028,60,66084.19749
17.189726,60,66374.615905
10.008814,60,66672.398624
11.322697,60,66930.266731
12.208344,60,67200.57756
14.745484,60,67494.369694
10.578603,60,67777.411581
13.960303,60,68059.457119
11.446614,60,68361.04395
9.66529,60,68634.095566
19.037909,60,68847.669091
11.684757,60,69144.518445
11.750817,60,69418.165574
13.621819,60,69680.605554
9.197465,60,69931.009228
14.300151,60,70232.750805
4.423615,60,70576.386046
12.9843,60,70891.629171
10.915111,60,71179.578878
9.992922,60,71443.082018
14.151604,60,71628.977132
15.03826,60,71875.738217
11.921062,60,72101.464693
15.733892,60,72390.993377
12.259398,60,72663.356519
9.812341,60,72971.668794
19.039864,60,73197.620514
17.984581,60,73443.930453
10.781574,60,73701.500404
12.050046,60,73940.628588
9.986648,60,74121.09218
11.872938,60,74379.643097
16.367984,60,74645.959233
12.553508,60,74904.615659
12.254952,60,75189.695925
8.487916,60,75451.447256
12.884365,60,75757.798679
11.608596,60,76041.549873
9.634024,60,76315.649067
15.295833,60,76514.231833
9.981391,60,76844.777657
14.253549,60,77149.886857
9.241103,60,77369.513268
10.438882,60,77702.14678
11.724406,60,77918.690455
8.547232,60,78239.484327
9.883281,60,78497.100337
5.709712,60,78799.318747
11.316276,60,79050.01525
10.207853,60,79274.301382
10.11751,60,79564.313083
15.411121,60,79862.814616
11.464037,60,80138.518383
9.480834,60,80407.942241
11.860159,60,80752.948509
8.628366,60,81119.81403
11.91587,60,81484.550071
8.982351,60,81727.269354
12.926526,60,81976.890964
7.978176,60,82294.5663
11.354035,60,82511.821939
12.009273,60,82759.930507
11.732709,60,83011.462187
10.48579,60,83228.020492
10.619615,60,83555.616169
9.973402,60,83855.168446
8.186522,60,84177.201926
10.825438,60,84497.283038
10.646246,60,84789.428065
8.442228,60,85107.487215
16.974195,60,85413.645717
9.174485,60,85663.157416
7.934082,60,85966.384299
9.669794,60,86234.107836
14.427014,60,86480.903807
12.121768,60,86736.310774
13.033593,60,87059.863677
12.749552,60,87310.976718
15.009687,60,87540.207881
14.714282,60,87832.728442
10.341384,60,88091.121598
11.346288,60,88322.571362
11.635183,60,88552.06202
13.873846,60,88821.039735
