#{"t_start": 1595093828.9020002, "env_id": "cdtn-more-simplified-v2"}
r,l,t
0.0,60,102.044351
0.000543,60,553.727975
0.109486,60,972.491351
0.0,60,1072.793169
0.0,60,1145.876514
0.0,60,1479.03687
0.013034,60,1857.510957
0.0,60,2238.556958
0.0,60,2394.310194
0.0,60,2525.091659
0.004783,60,2916.295646
0.0,60,3142.276026
0.003639,60,3500.071956
0.96922,60,3819.712164
0.923602,60,4227.868171
0.001334,60,4533.653507
0.0,60,4827.670439
0.006266,60,5187.587873
1e-06,60,5450.15912
0.021909,60,5765.84252
0.0,60,6154.60812
0.003312,60,6528.114313
0.0,60,6708.495883
0.826291,60,7005.756674
2.329362,60,7276.425584
0.0,60,7530.596529
0.0,60,7721.30879
0.002848,60,8142.251085
0.0,60,8217.045392
0.0,60,8436.663281
0.017268,60,8872.045496
0.020836,60,9290.777427
0.0,60,9766.238394
0.0,60,9926.678121
3.048012,60,10114.257211
0.0,60,10266.365086
0.00031,60,10498.752371
0.189512,60,10918.114756
2.772111,60,11087.98454
4.5e-05,60,11313.459368
0.0,60,11696.407512
2.963058,60,11911.321934
0.001737,60,12406.831619
0.0,60,12556.438234
0.0,60,12639.532482
0.0,60,12819.528608
0.0,60,13207.823153
1.921128,60,13524.436906
0.000683,60,13978.5124
1.365937,60,14325.013006
0.022523,60,14812.253977
0.0,60,15165.767459
0.0,60,15423.760426
3.952598,60,15649.729229
0.000894,60,16028.233245
0.0,60,16101.717653
2.790328,60,16406.449109
1.51835,60,16690.239503
4.37613,60,16909.413804
0.005975,60,17487.663234
2.611026,60,17802.03511
0.003186,60,18225.210197
0.001428,60,18655.359793
0.000427,60,19144.998248
4.323286,60,19374.358757
0.929361,60,19776.135364
5.225844,60,19992.216527
1.774918,60,20349.17395
2.538669,60,20697.589762
0.0,60,20785.103214
4.886125,60,21000.525382
3.833389,60,21257.003363
4.410767,60,21425.758076
0.0,60,21527.918027
1.945437,60,21868.809363
4.267745,60,22028.9267
3.845088,60,22217.777832
0.0,60,22293.622313
3.923934,60,22499.549122
3.210578,60,22765.006244
1.746045,60,22931.646311
0.0,60,23365.417581
3.437538,60,23642.180053
2.001125,60,23966.902691
4.091557,60,24210.152991
0.0,60,24334.95754
4.912188,60,24466.875801
0.0,60,24540.786665
4.11848,60,24777.535428
8.3e-05,60,25109.56943
0.0,60,25182.355607
7e-05,60,25619.384128
4.675062,60,25752.083217
0.052118,60,26091.509135
3.88433,60,26274.338377
3.747792,60,26451.654525
3.665402,60,26583.91759
3.625543,60,26740.758198
0.582583,60,27086.466077
4.44758,60,27338.526343
2.67443,60,27464.403245
0.0,60,27536.994848
5.211458,60,27667.865057
4.559483,60,27797.46063
0.0,60,27880.354558
0.0,60,28150.61801
2.936659,60,28295.629198
1.909445,60,28432.916033
3.614757,60,28612.54087
3.281345,60,28741.813899
4.138652,60,28875.421788
5.097297,60,29087.858722
0.0,60,29172.749793
4.742203,60,29303.388031
4.53086,60,29495.744088
4.385261,60,29645.356961
3.43191,60,29827.080096
3.717269,60,30014.878605
3.815784,60,30180.80937
5.345367,60,30366.938826
5.57596,60,30579.780453
5.241889,60,30715.637992
4.028951,60,30843.477018
5.155658,60,31020.219203
0.0,60,31193.069289
3.424209,60,31349.491493
5.775887,60,31566.609536
4.824234,60,31814.934612
4.876473,60,32058.487127
5.12842,60,32299.484562
5.829357,60,32552.629133
5.770145,60,32721.57016
6.290736,60,32947.449737
0.0,60,33327.968175
7.065891,60,33463.180351
6.898471,60,33594.993567
6.29682,60,33725.897365
4.792919,60,33897.948015
6.418861,60,34028.711963
5.10115,60,34227.454684
5.539036,60,34414.180939
5.095029,60,34607.380473
1.897312,60,34734.887808
5.33858,60,34999.457465
6.488211,60,35134.689601
3.532311,60,35262.385191
5.299451,60,35526.578945
1.514897,60,35782.503624
6.008179,60,35940.015216
6.025145,60,36098.13402
1.1e-05,60,36230.182049
5.335611,60,36369.622834
2.32312,60,36496.335978
5.91354,60,36659.440665
5.796295,60,36831.945408
7.079918,60,37025.208398
5.051542,60,37157.591732
5.406738,60,37327.307069
4.931546,60,37484.413709
7.003701,60,37630.847565
3.447935,60,37844.321449
0.551651,60,38098.238151
0.608187,60,38347.598727
4.08553,60,38476.467835
6.769898,60,38607.371445
6.049178,60,38738.441785
6.675778,60,38870.72574
5.441157,60,39034.500777
5.311264,60,39207.790809
6.006126,60,39338.504799
4.368918,60,39469.079962
3.879629,60,39599.808908
7.015087,60,39791.521801
4.264637,60,39918.236876
4.650326,60,40110.278248
6.703463,60,40242.866284
6.387926,60,40374.142301
6.666478,60,40505.204526
5.914494,60,40673.938703
5.706044,60,40806.828256
5.545689,60,40976.767636
6.217431,60,41222.911062
5.889792,60,41391.873695
6.47662,60,41523.294956
3.998019,60,41753.231035
0.0,60,41845.321614
1e-05,60,41953.560781
6.094431,60,42107.399403
7.099417,60,42295.778986
5.992058,60,42426.72615
6.534179,60,42557.811216
5.107258,60,42726.657444
