#{"t_start": 1613058930.230247, "env_id": "cdtn-more-simplified-v2"}
r,l,t
0.0,60,112.546957
0.316745,60,704.493271
0.0,60,820.501097
0.0,60,1151.252876
-0.0,60,1738.405612
0.0,60,1966.379415
0.0,60,2104.205014
4.504409,60,2366.253386
0.0,60,2502.913908
0.195542,60,3025.089416
0.0,60,3239.361576
0.142458,60,3682.630008
0.050407,60,4207.09783
-0.0,60,4516.149688
0.0,60,4656.214164
-0.0,60,4770.433311
0.006104,60,5252.642612
0.0,60,5425.70215
-0.055601,60,6002.832396
-0.0,60,6139.590134
-0.117972,60,6722.157645
0.0,60,6840.508325
0.0,60,6965.782592
0.0,60,7555.287637
0.0,60,7688.819967
0.0,60,8072.680333
2.4e-05,60,8204.042418
0.0,60,8312.52327
7.749235,60,8898.181174
0.0,60,9236.305554
0.0,60,9455.903787
0.0,60,9895.02252
0.0,60,10010.833488
-0.358136,60,10512.494497
0.0,60,10876.286599
-0.0,60,10996.757373
0.0,60,11118.50945
8.004661,60,11680.818751
6.128026,60,12324.809046
0.0,60,12700.357319
1.83862,60,12840.638048
0.0,60,12951.059932
0.0,60,13307.565109
0.0,60,13415.44381
-0.0,60,13704.997789
0.0,60,13814.310488
0.0,60,13922.442501
0.0,60,14050.364698
1.337133,60,14627.967313
7e-06,60,14974.92306
0.0,60,15083.467901
0.0,60,15214.226217
0.0,60,15568.738781
0.0,60,15678.054378
-0.032759,60,16094.127663
0.0,60,16205.516256
0.0,60,16479.326813
0.0,60,16651.907086
0.0,60,16759.677946
0.0,60,17063.233651
0.0,60,17205.992346
0.0,60,17686.602709
0.0,60,17853.886003
4.316171,60,18014.61012
0.0,60,18123.058276
3.469945,60,18505.051213
6.422737,60,18690.330745
0.0,60,18802.15199
7.571542,60,19379.341101
12.29937,60,19941.641858
0.041106,60,20313.054145
14.269459,60,20896.129203
0.074864,60,21518.684675
7.558526,60,21851.082329
-0.001093,60,22519.614354
0.0,60,22630.245745
2.79994,60,23128.993001
7.180093,60,23529.586903
6.522586,60,24110.624635
1.935176,60,24638.982504
0.386703,60,25005.473844
0.481528,60,25480.962423
4.301502,60,25718.316139
0.0,60,25834.14072
10.959378,60,26437.204705
3.302692,60,27006.344658
-0.081859,60,27546.419478
2.410289,60,28021.600748
0.0,60,28135.127433
5.546991,60,28807.930264
2.430051,60,29459.625705
10.378164,60,29905.991075
5.584984,60,30637.139175
-0.0,60,30754.515209
0.0,60,30922.01673
3.900571,60,31497.59094
2.190698,60,32142.95082
8.340019,60,32711.167966
5.436951,60,33290.345569
-0.0,60,33399.319209
4.639593,60,33914.827342
7.75188,60,34478.14495
2.105056,60,35161.34077
8.055506,60,35512.187156
2.426581,60,35898.295949
8.650187,60,36431.487092
11.165833,60,36849.578192
1.276147,60,37424.800563
2.430041,60,37883.985523
2.104663,60,38106.983343
1.864234,60,38708.118042
3.60775,60,39469.831796
5.737843,60,40133.284382
13.677362,60,40615.701276
6.345293,60,41046.879506
3.879461,60,41601.78405
15.531542,60,42082.769064
17.184913,60,42664.227588
15.219566,60,43223.34478
13.990688,60,43915.556862
1.181898,60,44307.767452
9.863681,60,44674.01816
1.378393,60,45214.796681
6.307188,60,45671.391323
5.309896,60,46245.243915
10.417689,60,46769.612153
7.08539,60,47395.963386
5.972038,60,47950.601367
14.289584,60,48527.427508
7.619206,60,48850.15382
17.582503,60,49319.219955
14.30878,60,49907.190681
12.314674,60,50569.643836
6.505138,60,51145.457051
7.740612,60,51512.23394
9.07389,60,52047.383042
11.243536,60,52613.639826
7.605731,60,53178.418869
8.555022,60,53791.79486
6.617177,60,54430.302794
16.579124,60,54838.479778
7.793324,60,55408.326867
2.003957,60,55747.996925
11.953725,60,56324.674077
13.54294,60,56829.838307
6.780416,60,57243.720469
3.422949,60,57633.66742
13.519203,60,58140.373484
6.079796,60,58820.048847
9.460443,60,59377.343881
13.789222,60,59908.186405
16.59187,60,60348.112179
8.66478,60,60907.940318
1.401965,60,61234.341703
4.387532,60,61771.911875
3.637319,60,62121.79332
12.401783,60,62689.037104
10.886011,60,63187.66283
17.911927,60,63532.878741
7.603628,60,64114.740187
8.717916,60,64681.441683
11.691359,60,65277.566289
13.575958,60,65643.208078
14.822876,60,66151.139782
13.358971,60,66663.735589
7.268094,60,67308.113312
15.521432,60,67946.182803
12.821643,60,68458.455022
15.290652,60,68922.253749
11.319569,60,69421.862515
10.433111,60,70038.267247
9.821277,60,70489.18361
10.619322,60,71114.439191
12.153143,60,71661.497946
7.29162,60,72137.639411
9.052423,60,72661.105285
15.191283,60,73223.659469
16.021549,60,73774.922377
14.223248,60,74228.942453
15.990647,60,74729.600684
13.731442,60,75333.029114
8.652495,60,76019.56091
10.704532,60,76656.317825
10.756872,60,77263.573659
11.234305,60,77748.389966
8.130644,60,78328.509685
8.148893,60,78938.051312
7.100654,60,79396.743634
14.81645,60,80031.446379
7.317327,60,80634.090739
7.592195,60,81179.868294
12.442053,60,81791.098235
12.110382,60,82360.169675
14.566489,60,82743.218047
8.778263,60,83166.276036
15.88684,60,83704.765473
15.185985,60,84390.44727
7.292283,60,85003.731506
14.081816,60,85544.561541
12.742713,60,86025.901388
8.787998,60,86543.502648
8.71668,60,87189.177032
13.634123,60,87685.546038
12.027524,60,88173.798587
9.998269,60,88792.221591
12.761089,60,89424.802557
9.943993,60,89967.508366
3.10975,60,90490.72812
6.532014,60,90994.407009
10.147503,60,91569.961524
11.771323,60,92155.336469
10.741477,60,92756.982775
6.216919,60,93355.473393
12.196421,60,93893.770231
13.294107,60,94502.467622
10.942889,60,95096.966435
12.288739,60,95634.935322
6.934499,60,96242.604602
10.311357,60,96832.978594
8.518891,60,97389.559641
6.488612,60,97957.186065
2.297296,60,98576.143881
0.197685,60,99208.224572
10.467772,60,99917.830374
11.553605,60,100601.655736
5.286842,60,101270.595438
11.512129,60,101937.157451
2.954939,60,102604.003726
6.023353,60,103228.833125
13.614767,60,103782.319422
9.842487,60,104353.156346
7.854637,60,105025.586963
8.296302,60,105556.833827
1.621957,60,106176.605559
11.174507,60,106820.684941
-0.032195,60,107510.701331
10.971982,60,108191.136391
8.576532,60,108722.090466
15.719186,60,109138.589282
8.8141,60,109684.802056
11.510745,60,110313.161319
15.914066,60,110904.911829
6.765828,60,111499.421735
12.333028,60,111948.750145
6.53844,60,112640.758562
14.99483,60,113228.781893
14.055012,60,113874.856212
14.367737,60,114492.282823
9.284888,60,115167.245592
8.958138,60,115738.139421
16.19029,60,116367.048076
6.173315,60,116943.734329
9.53618,60,117623.36936
11.713584,60,118117.891904
13.91852,60,118499.80654
10.846102,60,119106.400853
10.182558,60,119692.214111
12.211289,60,120283.083996
13.900509,60,120959.591893
15.288677,60,121564.648394
11.021234,60,122151.64942
6.489299,60,122311.222475
5.541832,60,122817.221102
12.471397,60,123023.226608
7.813582,60,123549.679216
9.369246,60,124202.401208
6.836333,60,124557.37122
8.599306,60,125131.601823
7.525145,60,125734.776326
8.760282,60,126329.482081
11.491111,60,126974.622308
12.52205,60,127248.546403
4.663767,60,127944.943484
7.190626,60,128578.846858
-0.005159,60,129161.079196
9.16844,60,129346.478726
14.152061,60,130015.68557
14.819702,60,130514.850447
15.303303,60,131173.901551
4.629077,60,131526.053147
12.154628,60,132070.198687
9.948531,60,132731.289665
16.188967,60,133162.23214
6.423091,60,133817.859823
16.586795,60,134116.19356
9.708069,60,134568.465722
17.356601,60,134974.444349
14.338065,60,135439.111917
16.257882,60,135762.87235
14.43465,60,136094.603976
16.491023,60,136420.26809
11.420175,60,137061.825698
13.928764,60,137708.226159
17.127663,60,138244.845516
17.132145,60,138618.551989
14.793522,60,139266.702259
13.358606,60,139913.764049
15.614108,60,140335.006981
8.536483,60,140693.866973
8.383062,60,141358.249678
16.970549,60,141814.278542
5.670897,60,142543.159967
12.840332,60,142993.192294
13.126243,60,143633.690477
17.245143,60,143855.954989
19.467844,60,144224.45423
7.006942,60,144919.52845
12.914454,60,145404.223876
8.915319,60,145985.077618
15.87795,60,146564.756265
8.130708,60,147172.028186
13.910576,60,147807.247396
15.492163,60,148410.687128
14.712203,60,148951.031313
7.502208,60,149539.593383
18.697115,60,149764.268821
4.01327,60,150443.929019
17.180967,60,150788.922474
13.486944,60,151402.329493
17.418658,60,151760.312778
17.602494,60,152165.31766
12.111424,60,152607.393518
15.183196,60,152978.097462
17.705696,60,153310.381901
16.306013,60,153706.426496
11.788332,60,154247.610013
16.937876,60,154527.778366
11.08691,60,154903.664329
12.12688,60,155337.075172
11.023914,60,155773.224381
7.163853,60,156253.941157
7.36328,60,156715.816148
13.922644,60,157030.783227
12.577372,60,157389.444047
14.453789,60,157819.334439
9.435666,60,158250.94683
15.501273,60,158720.853496
13.011589,60,159055.750106
16.412044,60,159422.224455
16.18293,60,159783.152699
