#{"t_start": 1612195369.780559, "env_id": "cdtn-more-simplified-v3"}
r,l,t
0.0,60,171.781635
0.0,60,517.113241
0.0,60,957.207869
0.0,60,1509.207567
-22.178709,60,1975.9
0.0,60,2120.976971
0.0,60,2500.852726
-19.611837,60,2947.72862
0.0,60,3110.260196
0.0,60,3331.401261
0.0,60,3438.917101
0.0,60,3730.785499
0.0,60,4012.14832
0.0,60,4143.539204
-12.338835,60,4561.79583
0.0,60,5019.390489
0.0,60,5271.031624
0.0,60,5411.203776
-14.78182,60,5856.936306
-6.213223,60,6294.890313
0.0,60,6433.89879
-10.322161,60,6986.759273
-27.68739,60,7423.595262
2.6e-05,60,7721.20523
0.0,60,8041.393368
-0.354789,60,8249.673719
0.0,60,8401.752152
0.0,60,8954.831381
0.0,60,9104.573964
0.0,60,9434.594389
0.0,60,9579.860302
0.0,60,9755.751281
0.0,60,9965.282951
3.844594,60,10224.752223
-17.735672,60,10678.253125
-20.091651,60,11126.753955
1.444005,60,11635.317475
0.0,60,11746.567695
2e-06,60,12113.255929
2e-06,60,12374.381454
0.0,60,12669.072582
0.0,60,12783.947818
-2.625854,60,13384.091308
0.0,60,13517.794704
0.0,60,13677.420022
0.0,60,13999.811296
0.0,60,14141.202198
0.0,60,14253.499299
-0.524969,60,14723.709285
0.0,60,15146.788259
0.0,60,15257.757233
0.0,60,15646.992382
0.0,60,15756.586353
0.0,60,16073.446361
2.597244,60,16315.799949
0.0,60,16498.603077
0.0,60,17006.463469
0.0,60,17347.901654
8e-06,60,17707.527373
0.0,60,18006.168592
0.0,60,18150.13429
-0.201514,60,18658.166857
0.0,60,19210.625691
0.0,60,19457.626178
0.0,60,19619.314002
-2.189725,60,20236.779682
-3.873677,60,20802.937063
0.0,60,21135.562726
0.0,60,21258.969229
-13.021662,60,21605.094919
0.0,60,21715.615043
0.0,60,22000.0586
0.0,60,22122.230722
0.611203,60,22579.122258
0.0,60,22688.544353
4.628275,60,23034.951293
-13.667816,60,23435.223696
0.0,60,23863.334655
-3.770587,60,24288.429256
5.811722,60,24857.008524
1.486381,60,25271.620984
4.966141,60,25620.856683
0.0,60,25754.41946
4.857665,60,26102.513905
8.789535,60,26377.030078
1.139578,60,26807.609068
7.188228,60,27073.333337
1.914124,60,27591.304432
2.173101,60,28226.368204
0.0,60,28850.094896
8.128004,60,29222.733314
9.079543,60,29754.921873
4.702097,60,30066.506919
0.0,60,30624.730634
0.0,60,30751.845364
8.258447,60,31045.065126
2.954335,60,31409.160604
-1.960012,60,31857.115795
-0.837431,60,32284.215015
-0.195076,60,33012.642205
0.454929,60,33573.936032
3.90204,60,34019.5975
-1.940854,60,34451.347618
5.852277,60,34950.868575
-5.817446,60,35434.560986
1.772496,60,35875.659021
11.916231,60,36219.4939
-0.166566,60,36818.171142
7.932007,60,37207.236981
11.418817,60,37527.583389
2.848166,60,37963.564985
5.033799,60,38415.09972
12.444473,60,39001.088411
0.0,60,39764.167912
3.763522,60,40318.280935
4.386899,60,40704.767768
-3.498247,60,41143.375086
2.412001,60,41528.948562
6.370021,60,41877.403701
5.503726,60,42173.280379
8.015823,60,42509.360361
9.368582,60,42718.830241
6.596412,60,43044.976916
3.274096,60,43423.245379
5.338543,60,43795.716005
3.352435,60,44240.843199
1.127204,60,44827.252223
9.104599,60,45338.770651
8.283003,60,45644.850134
5.002136,60,46162.602391
14.574009,60,46495.728807
5.41411,60,46872.611048
2.961138,60,47314.69071
3.971455,60,47749.259058
2.877841,60,48397.870932
14.920231,60,48635.702594
9.257501,60,48965.530557
4.022878,60,49389.485245
5.556045,60,49859.69006
8.304895,60,50156.003602
4.611049,60,50617.137412
3.866648,60,50990.71681
3.672844,60,51422.561995
4.836566,60,51978.676853
3.233116,60,52278.897296
