#{"t_start": 1592404429.6916754, "env_id": "cdtn-more-simplified-v2"}
r,l,t
2.172096,60,192.728322
3.750807,60,4211.71099
2.303854,60,4407.547145
5.413078,60,4695.33566
0.022276,60,7513.115915
4.287704,60,7925.608347
4.331855,60,11447.291423
6.705772,60,13021.659002
4.487306,60,15253.282753
0.007399,60,17876.245728
4.077949,60,18307.659026
7.771094,60,19752.426484
5.268757,60,22429.834986
14.024317,60,23315.521747
0.046264,60,26041.947818
4.091986,60,26435.199212
9.550126,60,26724.857243
0.036226,60,30120.075289
0.243,60,32986.448603
14.149195,60,33574.247826
14.403218,60,33898.495189
6.504033,60,34338.955222
12.938993,60,35520.176795
23.587029,60,35767.294216
5.068713,60,35949.811567
0.032115,60,38600.191503
9.103029,60,39071.255261
6.58121,60,39370.512217
15.750626,60,40119.56684
10.684645,60,40347.901815
12.937015,60,40854.828142
9.653853,60,41090.752272
17.555499,60,41329.881393
22.383031,60,41558.033279
15.319362,60,41757.026166
0.005683,60,44242.596017
0.028237,60,47883.740994
0.006823,60,50689.798503
0.011631,60,54410.729895
0.02136,60,57355.972818
22.372406,60,57576.079163
20.045209,60,57970.209789
5.713204,60,59603.031009
23.670209,60,59945.84401
0.002334,60,62849.669519
13.303584,60,63312.669417
21.23078,60,63503.30351
18.033244,60,63707.395464
22.616586,60,63929.172241
22.13463,60,64121.663753
21.396109,60,64371.422678
22.76439,60,64816.317217
15.223321,60,65116.45791
20.730245,60,65327.571924
15.240366,60,65688.333704
18.21834,60,65988.110579
23.694604,60,66220.631511
16.776169,60,66499.182716
21.909146,60,66712.817108
18.348232,60,67407.292199
26.151288,60,67612.596065
24.206744,60,67819.32599
22.936628,60,68024.811137
19.984333,60,68226.044349
18.859811,60,68429.287259
17.37919,60,68904.739248
19.492309,60,69138.564545
21.555796,60,69344.77962
21.169166,60,69547.609759
23.286424,60,69785.395547
28.126364,60,70185.941487
13.650128,60,70369.462123
14.61395,60,70556.720049
14.342628,60,71168.37378
22.342333,60,71355.018708
21.248129,60,71552.011358
30.298538,60,71786.116903
25.275214,60,72001.912392
24.296884,60,72239.320554
24.388951,60,72450.72335
21.30601,60,73033.915363
14.760692,60,73774.403956
19.142306,60,74367.503876
23.457724,60,74568.22725
24.448311,60,75118.445572
25.260539,60,75343.978407
22.980732,60,75552.485287
20.715247,60,75748.202729
25.149404,60,76150.105779
20.452359,60,76378.625047
24.358134,60,77049.029405
19.792098,60,77388.014125
17.807928,60,77570.992789
16.968354,60,77822.551146
19.14901,60,78306.583735
15.370794,60,78502.143353
0.208815,60,79378.063279
26.987129,60,79748.325536
19.727146,60,79979.453372
23.21887,60,80173.807856
18.164773,60,80509.824716
19.287052,60,80819.082222
19.632529,60,80997.34968
18.581581,60,81282.700329
24.073654,60,81495.571985
20.875452,60,81689.105933
20.75274,60,82157.306556
23.60036,60,82367.582334
24.909488,60,82837.517769
21.610616,60,83838.622656
24.272824,60,84329.115021
15.604398,60,84739.542765
31.324371,60,85227.695242
15.918006,60,85752.339893
17.944487,60,86032.358214
20.142078,60,86231.744529
28.271294,60,86560.629577
19.514395,60,86750.775914
21.088108,60,86956.295703
25.716333,60,87175.983546
19.028702,60,87349.151393
19.931242,60,87613.171857
20.471793,60,87813.846861
23.877293,60,88015.531964
25.60207,60,88405.067232
19.387313,60,88603.335585
24.449739,60,88952.055747
23.734265,60,89166.449402
25.793922,60,89927.431077
24.811264,60,90741.145419
22.361436,60,91396.786093
